File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\July Project.dm,143,97,0,8,37,5,9,72,4,3
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\_DEBUG.dm,40,27,0,0,13,0,0,0,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_BoltEffect\Darke_BoltEffect.dm,135,74,0,9,38,2,23,247,2,19
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_ChatBox\ChatBox.dm,167,93,0,15,51,5,23,112,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_EasingFunctions\Darke_EasingFunctions.dm,24,15,0,6,6,0,3,22,3,22
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_Encryption\darke_encryption.dm,187,86,0,16,45,0,56,493,54,488
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_Encryption\Demo.dm,27,20,0,3,7,0,0,0,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_Encryption\alphabets\94 characters.dm,27,17,0,0,10,0,0,0,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_Encryption\alphabets\Letters Only.dm,11,10,0,0,1,0,0,0,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_HUDSystems\HUD_Main.dm,218,136,0,45,57,8,25,268,1,13
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_Vectors\Vectors.dm,117,84,0,21,29,4,4,57,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\Forum_account.keyboard\default.dm,48,27,0,1,8,0,13,72,9,42
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\Forum_account.keyboard\keyboard.dm,225,122,0,25,44,0,59,460,11,61
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\Forum_account.text\text.dm,238,174,0,68,38,0,26,155,10,43
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\ShadowDarke.sd_procs\atom.dm,34,14,0,2,4,2,16,97,12,56
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Ability.dm,32,20,0,3,5,0,7,8,7,8
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Character.dm,19,9,0,0,3,0,7,8,7,8
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Chat Group.dm,37,17,0,3,5,0,15,44,15,44
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Equipment.dm,162,126,0,57,29,0,7,8,7,8
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Global Variables and Utility Functions.dm,73,44,0,15,16,10,13,151,7,13
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Player.dm,40,23,0,1,10,0,7,8,7,8
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Stat.dm,217,113,0,25,27,0,77,359,20,72
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\_Testing.dm,122,104,0,25,18,0,0,0,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Hex System\Hex.dm,403,249,4,46,110,7,44,440,2,41
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Hex System\HexMap.dm,149,98,0,20,47,5,4,75,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Hex System\HexTesting.dm,51,33,0,2,17,0,1,3,0,0
